name,lon,lat,5_PD_PF,6_PD_PF,7_PD_PF,8_PD_PF,9_PD_PF,10_PD_PF,average_PD
1,121.4904727,31.37470948,940.3927019,1034.716774,1058.944107,964.0562267,1059.749572,1378.143761,1072.66719
2,121.4900018,31.37447509,2327.570831,2203.556789,2146.895758,2242.583853,2024.243777,1683.925178,2104.796031
3,121.489531,31.37424069,217.9023315,226.097598,226.3453611,258.6465975,122.184716,527.4985254,263.1125216
5,121.4914105,31.37515757,998.4308095,817.1415121,894.6985791,799.5244893,637.7576968,483.7205877,771.8789458
6,121.4918813,31.37538433,1236.539931,1209.583321,1232.863884,1449.47367,1566.264427,1158.71341,1308.906441
7,121.4923488,31.37561775,789.4936963,959.6507808,949.5207633,793.0711755,480.1041572,593.3846362,760.8708682
8,121.4928079,31.3758694,1830.556422,1850.504473,1814.762957,1923.271961,2236.581295,2742.171349,2066.308076
11,121.4877797,31.37485514,3807.424833,3853.784757,3794.703177,3743.358486,3693.831238,3647.248972,3756.725244
12,121.4883094,31.37487483,1934.321377,2036.18626,2060.575712,1857.517362,1245.677585,432.3286896,1594.434498
15,121.4883638,31.37504407,1699.016007,1987.521734,1891.037856,1567.799534,1461.184065,1484.893023,1681.908703
16,121.4892957,31.3754424,2287.966449,2469.975329,2304.765274,2195.191212,1695.483767,1596.997381,2091.729902
17,121.4897655,31.37567667,1761.804042,2287.770998,2195.698743,1904.365892,1870.583785,2141.827674,2027.008522
18,121.4902134,31.375951,3095.895218,3543.380807,3332.357231,2911.984454,2524.539707,2058.292801,2911.075036
19,121.4937135,31.37477464,1879.006068,2065.139844,1959.513284,2006.580077,2386.612158,2833.901401,2188.458805
21,121.4934927,31.3772128,3073.564237,3547.683912,3490.05449,2953.562636,2688.95222,2397.921105,3025.289767
22,121.4939396,31.37748768,3031.542796,3240.271395,3348.878226,3113.960243,2810.340011,2365.111143,2985.017302
25,121.4953627,31.37784633,2787.005197,2926.956238,2802.3708,2654.419257,2459.118731,2416.763543,2674.438961
30,121.4925134,31.3762971,1915.934363,1887.875106,2065.103222,2102.10278,2085.096948,1966.536985,2003.774901
31,121.4927374,31.37525902,2396.958067,2434.558395,2435.098257,2333.745159,1818.932518,1474.850503,2149.023816
32,121.4923073,31.37496251,1672.322194,2346.172636,2211.36164,1751.744738,1815.832238,1667.626772,1910.84337
33,121.4918365,31.37472852,1896.318377,2302.817225,1977.534275,1895.421273,1738.934975,1619.633895,1905.110003
34,121.4913694,31.37448771,1890.504327,2280.81659,2292.471096,1759.928442,1623.29322,1646.342021,1915.559283
35,121.4928712,31.37585751,1830.556305,1850.504143,1814.762728,1923.272044,2236.581263,2742.171244,2066.307954
36,121.4934778,31.37682328,1979.856807,1980.332137,2051.169625,1963.365244,1989.000371,1513.926725,1912.941818
37,121.4933545,31.37614917,1485.610867,1566.97125,1467.963984,1555.368337,1903.718373,1597.947107,1596.26332
38,121.4928872,31.37590824,2023.889715,2462.20672,2542.266025,2163.774326,2375.253238,2525.004693,2348.732453
39,121.4940471,31.375954,1964.423217,1885.640945,1913.424619,2150.707079,2792.157946,3000.287976,2284.440297
43,121.4948311,31.37589164,2753.038448,3032.767836,3142.477772,2735.538702,2491.217833,2287.827656,2740.478041
44,121.494346,31.37569124,2551.375799,2923.867266,2773.375893,2245.154224,2336.394635,2582.369191,2568.756168
48,121.4954179,31.37603791,2301.950816,2318.923849,2403.469549,2247.366382,2536.106919,3076.84021,2480.776287
49,121.4958041,31.37727069,2093.96707,2091.176399,2004.155463,2266.325606,2079.233442,1665.412764,2033.378457
51,121.4948354,31.37688951,939.5363268,951.7100912,1132.485504,965.0855029,1171.667754,433.5292872,932.3357444
52,121.4943687,31.37665864,672.2677183,764.1669318,744.547598,625.7459305,571.2303698,771.1208895,691.5132396
53,121.4938905,31.37644224,2864.878864,2926.269425,2867.866732,3085.497116,3435.517124,3440.936863,3103.494354
54,121.4964951,31.37782052,1829.06403,2020.944457,1842.192508,1895.143252,2383.848252,2172.811381,2024.000646
56,121.4957026,31.37642636,2590.438464,2653.98941,2611.903034,2627.464792,2627.506622,2207.383551,2553.114312
57,121.4961612,31.37668017,1410.709146,1503.837781,1539.895911,1416.850448,1309.266454,1323.01456,1417.262383
58,121.4961828,31.37577687,3143.996023,3188.579066,3272.67709,3090.359562,2289.43208,1772.531495,2792.929219
77,121.4967001,31.37657166,1884.717721,1786.334439,1825.911176,1658.430561,1618.357963,1806.081343,1763.305534
78,121.4966574,31.3755344,2195.080922,2049.75105,2154.806344,2002.09216,2250.435959,2395.444078,2174.601752
79,121.4965204,31.37504458,2822.143268,2817.954382,2836.30592,2931.935379,3058.757516,3046.072799,2918.861544
80,121.4961813,31.37464703,2800.501009,3000.600291,3045.307629,2986.580846,3114.685193,3212.238981,3026.652325
208,121.4736494,31.36989301,2223.478823,2010.634714,2083.244812,2231.616305,2823.976979,2302.821551,2279.29553
209,121.4738225,31.36940039,921.7683283,942.6740192,989.7464433,1197.52354,1398.735232,1810.393958,1210.140253
210,121.4739732,31.36889714,831.2752256,904.8650043,968.9347794,851.6351806,581.771406,668.8117948,801.2155651
211,121.4741132,31.36839055,2033.970095,1933.798333,1949.350157,2115.827931,2464.649955,2331.082725,2138.113199
212,121.4742425,31.36788096,715.4232329,662.252329,608.2875,771.7627521,888.8988683,870.3855041,752.8350311
213,121.4743802,31.36737372,3411.957414,3341.47147,3440.225866,3538.598442,3790.156264,3529.592062,3508.66692
214,121.4741302,31.37055019,727.2951557,862.4002422,630.8935776,842.6018468,1120.120526,1088.454137,878.6275809
215,121.4746378,31.37068733,858.8212534,1411.075672,962.3015453,783.5680954,806.6816358,807.3331175,938.2968866
216,121.4751428,31.37083448,668.3069204,634.127614,784.0396222,889.747941,541.3464106,854.1675543,728.6226771
217,121.4756506,31.3709703,1790.995762,1986.957793,2096.874803,1246.703122,660.1956134,244.6470805,1337.729029
218,121.4731384,31.37020975,1205.146878,1000.289161,1177.885983,1654.826187,1175.015505,713.3586469,1154.420393
219,121.4726321,31.37006927,1874.227157,1695.923661,1845.147925,1964.537642,1909.309972,2089.279735,1896.404349
220,121.4721277,31.36992082,2039.653067,1824.021152,2021.643198,2286.790448,2336.88297,2872.205051,2230.199314
221,121.4716229,31.36977437,2119.201009,1699.274464,1898.845597,2470.908094,2771.89064,3033.437209,2332.259502
222,121.4711158,31.36963599,1970.748397,1752.99215,1948.855406,2225.991883,2525.731037,3023.762681,2241.346926
223,121.4706101,31.36949326,1962.085763,1715.03982,1945.147173,2380.963729,2043.534478,2178.474447,2037.540902
224,121.4701011,31.36936214,1802.367278,1642.746105,1829.222871,2165.395425,1874.664851,1032.201407,1724.432989
225,121.4695974,31.36921117,2068.708294,1792.030598,2075.404221,2321.23148,2574.388954,2650.605619,2247.061528
227,121.4685855,31.36892666,1951.86885,1539.146006,1697.881536,2153.624443,1857.079799,2015.391712,1869.165391
228,121.4680797,31.3687847,1767.413359,1595.145381,1678.006761,1826.21798,1324.095869,1191.736341,1563.769282
229,121.4675775,31.36863401,1814.107819,1710.640308,1816.033262,1961.02746,1715.232394,1622.980941,1773.337031
230,121.4670729,31.36851429,2019.430745,1744.873673,1941.757992,2343.505732,2274.280317,2248.391656,2095.373352
