name,lon,lat,5_PD_PF,6_PD_PF,7_PD_PF,8_PD_PF,9_PD_PF,10_PD_PF,average_PD
32267,121.3448636,31.24470304,4115.385297,4171.692122,3999.574376,3998.313096,4286.51181,4122.095126,4115.595305
34250,121.3465478,31.23830375,3356.637782,3129.115549,3181.136765,3224.603849,2391.923681,1866.496566,2858.319032
34254,121.3467231,31.23710154,2362.545881,2364.229892,2305.208564,2396.339137,2194.221045,2304.321133,2321.144275
34255,121.3469103,31.23661335,1854.514168,1923.426664,2024.80663,2011.94218,1913.962534,1729.685435,1909.722935
34256,121.3471213,31.23613629,1623.735695,1815.120156,1683.942585,1518.408659,1647.57505,1775.044334,1677.304413
34257,121.3473149,31.23565095,2743.071896,2585.992857,2839.474736,2996.553148,3178.251258,3458.179004,2966.920483
34258,121.3483452,31.23822672,2825.819212,2812.561394,2922.585584,2810.730672,2871.41094,2692.26598,2822.562297
34259,121.348991,31.23733143,2376.497582,2132.731171,2178.995528,2530.465512,2657.388205,1905.70325,2296.963541
34261,121.3480444,31.23774364,2628.965795,2675.530984,2930.015586,2252.788028,2329.232708,2604.55264,2570.180957
34262,121.3475236,31.23778991,3207.060753,3099.859168,3155.901153,3367.346077,3600.282827,2870.071689,3216.753611
34263,121.347001,31.23773552,3259.977241,3238.504838,3237.738188,2956.250141,2023.10394,1101.406051,2636.1634
34264,121.3465051,31.23756836,3504.114902,3725.200226,3556.922678,3332.816687,2885.984383,2711.83472,3286.145599
34265,121.3486856,31.23698853,2745.282557,2732.87844,2732.241651,2683.948168,2524.443111,2247.9063,2611.116705
34266,121.3488879,31.23650368,2687.084809,2576.631352,2630.824024,2781.811709,2775.007995,2351.0929,2633.742131
34267,121.3490844,31.23601619,3691.921166,3584.286583,3530.859931,3688.232268,3691.66281,3435.372687,3603.722574
34271,121.3439656,31.2388735,3500.18289,3722.979507,3715.45671,3494.604152,3669.629058,3898.542385,3666.899117
34272,121.3438935,31.23835683,2947.95524,2654.643801,2747.580178,3356.839106,3750.338807,3391.807717,3141.527475
34273,121.343796,31.23784373,3937.462756,3556.948581,3561.4853,3822.836812,3321.993429,3108.591535,3551.553069
34274,121.3437481,31.23732189,4012.162877,4067.309637,4009.763841,4065.194995,4015.231528,3910.3166,4013.329913
34275,121.3436021,31.23681688,2746.905868,2435.750845,2719.26956,2714.103032,2927.064405,2793.67789,2722.795267
34276,121.3447437,31.23714406,3397.003178,3175.645201,3230.440338,3578.878906,2754.860605,2435.272169,3095.350066
34277,121.3442375,31.23700853,2897.866628,2651.275749,2955.916034,2831.719197,2676.281151,1944.123861,2659.530437
34278,121.3437498,31.23681288,2746.90556,2435.750187,2719.269166,2714.102841,2927.064188,2793.677613,2722.794926
34279,121.3457151,31.23745423,3191.971091,2946.732125,3028.401083,2496.394475,2003.510591,1761.44723,2571.409433
34280,121.3462337,31.23753616,3363.827,3477.383043,3366.922656,3580.974607,3694.090952,2954.441474,3406.273289
34284,121.3455157,31.23532737,1635.566243,1438.442605,1513.112824,1604.058334,1696.490382,1965.723253,1642.232274
