name,lon,lat,5_PD_PF,6_PD_PF,7_PD_PF,8_PD_PF,9_PD_PF,10_PD_PF,average_PD
10041,121.4643231,31.31773048,3328.025878,3264.672543,3162.335873,3215.577164,3195.121174,2029.511601,3032.540706
10042,121.4648491,31.31773051,3250.569978,3025.401565,3246.180298,3315.087929,2677.2324,1661.672241,2862.690735
10043,121.465375,31.31773054,3484.150267,3203.609086,3255.912854,3018.497325,1829.699121,818.5077401,2601.729399
10044,121.465901,31.31773058,3247.257507,3415.513965,3357.181427,3058.048684,2258.457794,1164.881301,2750.223446
10048,121.4637472,31.31574641,1989.934869,1950.446695,1832.853996,2024.636703,2241.280827,2701.676594,2123.471614
10049,121.4637707,31.31627094,2875.53243,2662.722278,2868.088728,2665.319577,2142.544044,2711.531531,2654.289765
10050,121.4637979,31.31679521,2418.074649,2513.024683,2453.183414,2330.351137,2243.01966,2462.436078,2403.34827
10051,121.4637975,31.31732119,1992.399685,1964.443936,2124.412786,2040.549204,2540.209413,2237.513647,2149.921445
10052,121.463644,31.31470403,1968.039867,2099.709142,1936.295389,1643.333354,2262.175575,2410.654216,2053.367924
10053,121.4636334,31.31417838,2052.707419,1850.433528,1926.384654,2258.174883,2210.546359,2037.858203,2056.017508
10054,121.4635952,31.31365517,1981.587226,1854.10147,1898.74825,2256.735219,2519.48882,2537.383463,2174.674075
10055,121.4635952,31.3131292,2625.021564,2623.971086,2574.644638,2508.052575,2324.755401,2036.090355,2448.755936
10056,121.4635307,31.31261103,3272.647916,3274.849758,3273.659327,3376.751695,2166.364006,2052.943469,2902.869362
10057,121.4641902,31.3151814,2584.743881,2389.273773,2472.010912,2722.561028,3287.154427,3007.428413,2743.862072
10058,121.4647162,31.31518059,2573.909664,2323.870625,2517.124657,2994.148623,3338.673951,2634.304241,2730.338627
10059,121.4652397,31.31514077,2812.277001,2434.376541,2535.900607,2918.025595,3264.848517,2755.433338,2786.810267
10060,121.4657632,31.31509479,3049.003024,2674.883843,2943.936148,3374.600989,3550.674454,2598.684232,3031.963782
10061,121.4662883,31.31507251,2751.904708,2491.96732,2536.380138,3068.978291,3256.547483,2223.250512,2721.504742
10062,121.4668115,31.3150291,2864.205628,2662.20833,2753.45008,3018.761347,3357.645673,2498.094867,2859.060988
10063,121.4673375,31.31502481,3149.092732,3159.134738,3091.542489,3527.560895,3523.217186,2801.802462,3208.725084
10064,121.4689563,31.31746789,3528.535768,3416.504672,3579.686843,3425.393531,3698.005939,3225.586309,3478.952177
10065,121.4694791,31.31742555,3474.999498,3365.75133,3520.886003,3521.361302,3579.035107,3200.39202,3443.737543
10066,121.4699967,31.31736388,3280.465718,3222.856546,3222.603972,3428.212721,3497.911103,2917.337164,3261.564538
10067,121.470512,31.31728055,3289.605123,3074.124919,3394.510161,3556.979065,3400.662381,3053.785392,3294.944507
10068,121.4710196,31.31715915,3547.968603,3490.15236,3659.382123,3432.074158,3074.668411,2958.564608,3360.468377
10069,121.4715317,31.31704427,3545.063939,3439.64536,3519.028691,3538.703122,3249.159837,3056.222274,3391.30387
10072,121.4677471,31.31548363,2368.573194,2457.281337,2505.061215,2511.198924,2678.764239,2601.338826,2520.369622
10073,121.4676658,31.31599763,2660.612589,2375.95994,2612.94027,3041.102599,2679.979619,2973.759309,2724.059054
10074,121.467674,31.3165127,2707.661269,2457.621677,2547.815089,3075.278908,3168.060789,2658.283833,2769.120261
10075,121.4676739,31.31703868,2429.321778,2216.281031,2467.225436,2728.167268,2117.894906,2740.129728,2449.836691
10076,121.4676739,31.31756465,3148.851291,3382.513895,3221.990411,2871.070007,2316.068894,2002.097661,2823.76536
10077,121.4679453,31.31445326,1303.574851,1376.844556,1255.81185,1340.11387,1578.892614,1681.792845,1422.838431
10078,121.4679816,31.31392997,2717.810803,2608.026493,2550.607205,2979.621745,2010.080696,1374.035058,2373.363667
10079,121.467966,31.31340485,1882.492855,1473.382668,1628.876766,2450.515778,2281.53028,1935.561857,1942.060034
10080,121.4678762,31.31289161,2056.636702,2057.040834,2262.79597,2032.535003,1825.968279,2167.900261,2067.146175
10082,121.4683731,31.314926,2932.238,2869.870521,2976.990624,2927.738612,2453.887716,1185.856667,2557.76369
10083,121.4688961,31.31488152,2854.272584,2850.22942,2841.436373,3002.842654,2402.149712,761.7751599,2452.117651
10084,121.4694186,31.31482637,2670.034434,2569.214091,2671.697978,2921.03662,2421.216694,986.7706673,2373.328414
10085,121.4699413,31.31477483,2914.633167,2527.334381,2820.500778,3222.295102,3043.259609,1603.056041,2688.51318
10086,121.4704631,31.31472254,2989.401832,2657.549576,2870.489353,3260.84842,2582.402905,1778.929211,2689.936883
10087,121.4709848,31.31466981,3003.975775,3058.302212,2945.82012,3337.351346,2621.284677,1821.176493,2797.985104
10093,121.4754271,31.31660552,2967.300862,2896.668592,2947.702589,3168.098955,3569.512184,2711.292103,3043.429214
10096,121.4764791,31.31660814,2999.603642,2983.708753,3033.391164,3308.903733,3709.513331,3121.015134,3192.689293
10097,121.477005,31.31660814,2823.943182,2644.701273,2750.746946,3131.139484,3643.927058,3154.138969,3024.766152
10098,121.477531,31.31660814,2852.454988,2780.255128,2937.501567,3323.51798,3781.18079,3241.510214,3152.736778
10099,121.478057,31.31660815,3121.628049,2943.285807,3050.020353,3326.713374,3727.963352,2850.462221,3170.012193
10100,121.478583,31.31660815,2858.244382,2733.802017,2837.517676,3219.964325,3576.468452,2935.789686,3026.964423
10101,121.479109,31.31660815,3105.409278,2818.552611,2869.903792,3254.282565,3768.462306,2404.125277,3036.789305
10102,121.4796349,31.31660815,3091.657453,2968.273113,2963.893214,3349.055479,3750.739949,3012.431118,3189.341721
10103,121.4801609,31.31660815,3070.922507,3050.519646,3102.548863,3161.667373,3503.163861,3458.871244,3224.615582
10106,121.4729113,31.31317173,1849.884916,1762.397192,1742.253374,1805.088061,1444.304881,1702.177648,1717.684345
10107,121.4734329,31.31310959,2948.612023,2570.282334,2779.754022,2886.389046,2818.176524,1822.898625,2637.685429
10108,121.4739577,31.31308788,2042.839121,1949.455037,2178.237372,2372.520296,2479.896519,1793.905445,2136.142298
10110,121.4750077,31.31311654,2716.571004,2404.39081,2496.291801,2486.148077,2469.024345,1413.905671,2331.055285
10111,121.4755324,31.31313753,2041.167402,1915.343342,2045.239914,2067.276182,1123.430676,344.8616857,1589.5532
10112,121.4760581,31.31314701,2395.526906,2166.611763,2362.266144,2487.457707,2670.508329,1231.895199,2219.044341
10113,121.4759903,31.31608411,1479.622094,1147.552295,1497.521978,1359.359908,1421.953195,1247.092936,1358.850401
10114,121.476037,31.31556113,1055.548563,1102.116878,1026.670714,1074.726276,1662.797297,1108.536796,1171.732754
10115,121.4760425,31.31503525,1365.786307,1402.701076,1441.272928,1435.568248,1867.615359,2037.608128,1591.758674
10116,121.4761424,31.31452475,1631.745498,1337.729354,1500.516833,2000.683021,1809.394342,1407.889576,1614.659771
10117,121.4762157,31.31400479,741.0563489,996.3588343,935.1011286,781.2829206,941.1771192,858.178829,875.5258634
10118,121.4762991,31.31348583,1289.028933,1537.27092,1412.541722,1606.976444,2311.290876,2582.230031,1789.889821
11483,121.465367,31.30834373,4070.20038,4012.459262,4010.808285,4239.023925,4184.514108,3804.204861,4053.535137
11484,121.4648424,31.30830623,3882.452939,3937.958655,3994.765341,4050.649933,4053.780999,3689.568946,3934.862802
11485,121.4643167,31.30828985,3578.267843,3353.736569,3406.029315,3800.622797,3918.061166,3868.128209,3654.140983
11486,121.4637921,31.30825512,3682.38661,3680.54775,3736.673863,3677.652955,3632.038928,2841.666272,3541.827729
11487,121.4632665,31.30823798,1989.64435,1993.601001,1880.090011,2192.66654,2356.630703,1745.639974,2026.378763
11488,121.4658362,31.3089445,2486.692998,2176.866855,2226.202503,2644.672995,1566.484989,525.7339486,1937.775715
11491,121.4664117,31.3084453,4281.403401,4054.04473,4109.38531,4337.541776,4282.198375,3900.366189,4160.823297
11492,121.4669327,31.30850513,4086.87367,3972.233099,4142.154892,4140.932641,4257.823764,3983.721288,4097.289892
11493,121.4634914,31.31205313,2843.083733,2692.478708,2632.960617,3155.023977,2968.041674,2488.83755,2796.73771
11494,121.4634414,31.31153001,2896.083245,2990.69962,3035.090054,2684.821724,2276.194159,2585.438224,2744.721171
11495,121.4633448,31.31101545,2916.953315,2756.094083,2855.406423,2918.431896,2719.148761,3006.606764,2862.106874
11496,121.4633049,31.31049294,3133.391742,3127.087237,3179.630201,3179.142415,2716.578937,2802.148685,3022.996536
11497,121.4632973,31.30996702,3021.356273,2966.662083,2908.994046,3338.377751,3519.187174,3368.242118,3187.136574
11498,121.4632898,31.3094411,3587.230978,3642.984092,3696.309463,3805.758435,3819.66311,3660.204202,3702.025047
11499,121.4632817,31.3089152,3858.251869,3800.932761,3968.441729,3797.013447,4142.248553,4034.422539,3933.551816
11500,121.4632435,31.30839061,3864.404573,3864.803881,3974.459015,4087.234008,4204.085177,4151.372211,4024.393144
11501,121.4640417,31.3125274,3210.868139,3094.177537,3147.467346,3256.611731,2343.373013,1559.64345,2768.690203
11502,121.4645677,31.31252809,3036.463347,2928.012395,2963.86692,2943.240315,2072.001499,1399.447977,2557.172075
11503,121.4650936,31.31252877,3029.738028,2980.365234,3037.663217,2912.0753,2096.238146,1300.370006,2559.408322
11504,121.4656101,31.31246551,2869.594802,2557.421082,2920.546128,2761.072954,1284.609905,468.5285238,2143.628899
11505,121.4661306,31.31242512,2946.528511,2724.800222,2937.976463,2515.029047,1566.608205,796.1560066,2247.849742
11506,121.4666565,31.3124253,2661.267505,2663.585574,2990.403671,2696.876035,1770.969451,1599.439017,2397.090209
11507,121.4671825,31.31242548,2732.803062,2835.824846,2889.214034,2735.277332,2397.861583,2141.352966,2622.055637
11508,121.4704217,31.30882339,3793.455118,3735.68828,3734.007735,3960.662542,4021.280504,3912.927621,3859.6703
11509,121.4714394,31.30904978,3707.979807,3592.088288,3646.294863,3490.87542,3879.980576,3836.702414,3692.320228
11510,121.4714514,31.30885849,3909.900131,3683.191155,3793.483368,3905.5772,4025.12009,3554.135299,3811.901207
11511,121.4705367,31.30856929,3392.248453,3279.985084,3337.052994,3498.254989,3248.72772,2956.907808,3285.529508
11512,121.4710609,31.30854749,3803.460505,3576.950638,3744.678164,3801.089459,3699.39294,3201.09548,3637.777864
11513,121.4715869,31.30855135,3519.214218,3350.418346,3404.140143,3573.178872,3230.412525,1734.842242,3135.367724
11514,121.467182,31.30804786,2102.777257,2233.284778,2135.637481,2183.355522,2172.113045,2189.327081,2169.415861
11515,121.4670518,31.30753831,1312.989453,1363.594464,1139.58491,1263.291793,1952.07683,2064.412128,1515.991596
11516,121.4669234,31.30702847,1835.425419,1761.835001,1977.208477,1621.996539,1797.360961,1622.134712,1769.326851
11517,121.4667934,31.30651897,2449.082053,2390.636963,2391.119646,2437.4777,2763.179377,3144.804635,2596.050062
