name,lon,lat,5_PD_PF,6_PD_PF,7_PD_PF,8_PD_PF,9_PD_PF,10_PD_PF,average_PD
32978,121.4587395,31.24280594,3939.91762,3937.359104,3879.298078,3992.035457,4053.452384,3785.985983,3931.341438
32998,121.4592425,31.24283083,3210.683183,3099.12238,3207.177634,3387.386386,3095.079086,2699.304662,3116.458888
32999,121.4597654,31.24278334,2308.308452,2278.865014,2219.022461,2554.33553,2176.599771,638.6147862,2029.291002
33000,121.4602664,31.24264178,3152.881629,3095.296635,3100.634469,2999.16184,2367.008246,1538.523175,2708.917665
33001,121.4607723,31.24253163,2776.402087,2980.39212,2756.1535,2455.901514,1822.346045,1168.015086,2326.535059
33002,121.4612722,31.24238595,3285.844103,2958.825527,3076.820486,3191.193362,2621.110721,1981.18618,2852.49673
33055,121.4614446,31.24250824,2621.778016,2741.58875,2777.395702,2663.373683,2687.844009,2921.125739,2735.51765
33057,121.4622926,31.2418575,669.4139102,630.3564413,692.5001659,778.548491,816.9687693,923.9930609,751.9634731
33058,121.462694,31.24153467,1577.286398,1569.729788,1499.148592,1938.463569,2295.803588,2277.277981,1859.618319
33176,121.4720129,31.24242453,935.7655314,1015.445216,985.2920226,1074.473197,1060.983396,1179.390714,1041.89168
33177,121.4720596,31.24190156,911.6685957,929.9434475,963.9535982,936.9482859,1114.139055,1051.423184,984.679361
33178,121.473481,31.2423881,1976.848362,2259.388846,2230.969084,2228.40148,2155.445296,1718.606955,2094.943337
33179,121.4729929,31.2425809,2769.376099,2955.878554,2793.188202,2665.077552,2658.109955,2258.991426,2683.436965
33180,121.4725162,31.24279759,2315.614053,2261.382674,2313.212692,2264.006637,2325.863211,2145.4539,2270.922195
33181,121.4743696,31.24183832,1832.882296,2132.225135,2042.770077,1771.361821,1494.568302,1511.781847,1797.598246
33182,121.4734173,31.24196114,2519.891595,2193.92386,2304.729582,2551.805678,1523.860473,682.7052554,1962.819407
33183,121.4729137,31.24181796,2533.740584,2219.093558,2328.141222,2744.944693,1876.363746,1092.178265,2132.410345
33184,121.4724131,31.2416643,1804.113052,2188.00941,2260.875354,2168.323527,1762.978754,1409.316264,1932.269393
33193,121.4744568,31.24220085,3837.07659,3892.675793,3948.156253,3835.360189,3783.047009,3007.253873,3717.261618
33207,121.4715709,31.24298062,3216.731859,3103.655119,3323.591253,3210.569712,2820.596317,1657.338414,2888.747112
33208,121.4710456,31.24299228,3065.772318,3118.797121,3172.781294,3394.923176,2945.023316,1044.827082,2790.354051
33209,121.4705228,31.24294068,3354.093889,3300.929908,3241.635825,3518.547674,2504.815109,1676.130331,2932.692123
33210,121.470006,31.24285213,3479.061229,3476.609216,3303.654312,3232.002661,2672.302803,1984.109575,3024.623299
33211,121.4695062,31.2426883,2452.840291,3250.565923,2727.774665,2188.487589,2531.045459,2601.098199,2625.302021
33212,121.4690661,31.24240804,2182.885366,2214.048286,2107.134297,2109.531111,1888.048371,1510.012318,2001.943292
33214,121.4790976,31.24321421,2207.075222,1868.721366,1954.529343,2146.589191,2375.429893,1957.062947,2084.901327
33215,121.4815234,31.24344703,974.2097259,866.6079012,945.025496,974.8989451,1199.643132,1269.359939,1038.290856
33216,121.4808001,31.24347555,989.9467698,873.0642998,1014.358504,1048.86294,934.9761552,893.9188907,959.1879266
33217,121.4815021,31.24397645,904.2007956,832.5992848,949.82151,1098.335955,1150.154462,1178.356617,1018.911437
33218,121.4804468,31.24426936,2437.811331,2448.339101,2446.899953,2121.467262,1878.969677,1702.464823,2172.658691
33219,121.4813438,31.24521629,1126.396086,1552.480594,1288.664094,1127.859285,1155.120654,1184.626627,1239.191223
33220,121.4812597,31.24543873,2536.207826,2480.281489,2517.777369,2621.22435,2646.56399,1913.645097,2452.616687
33227,121.4795255,31.24187184,1924.634967,1949.567667,1995.074787,1841.686969,2191.595179,2362.450982,2044.168425
33228,121.4797316,31.24138895,2150.654181,2104.275031,2075.547585,2192.281013,2441.701226,2685.116433,2274.929245
33229,121.4806502,31.24243391,2291.595447,1971.444621,2214.536342,2293.475228,933.5899148,335.3411621,1673.330452
33230,121.4801255,31.24241187,1549.533378,1885.8612,1829.605192,1349.330702,533.0545217,391.3990593,1256.464009
33231,121.4796013,31.24238429,2883.74672,2463.750402,2664.657465,2955.252989,2572.51945,2130.179287,2611.684385
33232,121.4813571,31.24195543,971.1641929,794.3117005,887.6150629,1075.886954,932.2656781,746.2142039,901.2429654
33233,121.4815515,31.24146979,1926.001922,2242.644867,2078.131142,2040.622428,1396.934102,1066.787249,1791.853619
33234,121.4810246,31.24434603,800.3692342,1320.429453,918.3333751,605.0200983,803.982721,430.829161,813.1606738
33235,121.4815169,31.2444827,1002.480967,1008.993701,1050.658493,1048.859682,970.8422885,940.3109691,1003.691017
33236,121.4816986,31.24250424,1549.360458,1315.102348,1691.692527,1563.915626,908.3877669,65.89027736,1182.391501
33237,121.4822217,31.24255349,2255.318364,2567.945188,2474.99019,2355.479094,2094.5405,2022.853802,2295.187856
33238,121.4779893,31.24200847,2371.209931,2065.174422,2273.134613,2652.95324,2220.105618,888.7923362,2078.561693
33239,121.4788888,31.24227023,2522.083042,2486.877569,2418.0138,2922.900726,3091.906127,1726.503499,2528.04746
33240,121.4786612,31.24370214,2568.175288,2458.543801,2585.430168,2954.060019,3239.029585,3656.464183,2910.283841
33265,121.478082,31.24288807,2681.634459,2754.84002,2757.600162,2391.288661,2373.43677,1901.612357,2476.735405
