name,lon,lat,5_PD_PF,6_PD_PF,7_PD_PF,8_PD_PF,9_PD_PF,10_PD_PF,average_PD
6946,121.4512976,31.32181124,1291.988562,1378.625356,1309.163563,1326.385736,1713.347241,1461.317291,1413.471291
6947,121.4512973,31.32128526,1664.966965,1670.85091,1600.252482,1538.697217,1933.851527,1651.438902,1676.676334
6991,121.4553792,31.32279242,1202.275259,1149.70765,1166.737281,1225.533691,1381.24214,1722.729781,1308.037634
6992,121.455379,31.32226645,2248.745623,2286.163544,2428.328022,2141.209835,2303.805027,2170.02035,2263.0454
6996,121.4606375,31.32318742,924.9899327,1002.176493,923.488888,1175.023502,426.1179635,164.1359576,769.3221229
6997,121.4605842,31.32266471,2035.581766,2285.670604,2198.500543,2061.678379,1939.071099,1910.048892,2071.758547
8393,121.43206,31.32215897,2089.817738,2198.845298,2286.299089,1983.085816,2005.986122,2199.426412,2127.243413
8394,121.4321619,31.32164788,3457.419836,3235.821337,3291.47857,3614.287027,3566.626693,3523.444152,3448.179602
8395,121.4322632,31.32113651,2771.764489,2566.817629,2713.090793,2867.94466,2529.226854,2134.989775,2597.3057
8396,121.432323,31.32061739,2171.277836,1945.725064,2218.874222,2467.421789,3259.058033,3595.724796,2609.68029
8397,121.4324066,31.32010063,3155.873881,3098.561149,3147.721459,3098.416362,2465.579226,2102.668867,2844.803491
8398,121.4325099,31.31958961,2117.085349,2561.753115,2367.165359,2213.106852,2447.926194,1942.617971,2274.942473
8400,121.4326854,31.31855969,2474.380975,2380.499603,2398.724556,2602.502393,3091.256187,3077.715423,2670.846523
8401,121.4327846,31.31804564,2098.495447,1921.181035,2083.71906,2423.731376,2594.117999,2331.407682,2242.108767
8402,121.4328831,31.31752993,2647.738864,2453.252381,2591.51127,2951.076705,3509.441252,2901.80787,2842.47139
8403,121.4329803,31.31701315,1592.615433,1656.128228,1553.635236,1730.067944,2289.316669,2698.256584,1920.003349
8404,121.4330646,31.31649432,2254.755399,1973.140404,2060.982388,2283.119551,2712.053802,2685.246186,2328.216288
8405,121.4331509,31.31597575,2568.959983,2623.049877,2694.203343,2560.383968,2042.844946,2201.435243,2448.47956
8406,121.4332466,31.31545963,2662.58405,2610.116131,2763.324557,2816.168557,2682.379755,2058.934358,2598.917901
8407,121.4333399,31.31494483,2620.02603,2463.757142,2557.379325,3048.702883,3581.070068,2094.728412,2727.610643
8408,121.4334328,31.31443011,1828.426893,1650.700036,1840.226379,1909.774117,2613.311757,2705.477318,2091.319416
8409,121.4335277,31.3139155,2537.139605,2524.655965,2522.805549,2375.701193,2793.954917,3325.183157,2679.906731
8410,121.4335921,31.3133948,2146.861364,2017.751546,2077.544001,2415.713728,2665.501206,2373.347251,2282.786516
8411,121.4336719,31.31287611,2554.032208,2444.64692,2654.054565,2594.76404,2324.709584,2372.062761,2490.71168
8412,121.4337556,31.31235827,2789.803751,2777.319945,2878.112275,2864.029298,3563.621771,3263.214583,3022.683604
8422,121.4360935,31.32125343,2186.015728,2124.454796,2220.177742,2296.481877,2025.365829,1921.143243,2128.939869
8423,121.4360939,31.32072745,3595.922778,3538.52533,3537.866162,3522.771346,2539.941728,2002.653449,3122.946799
8424,121.4361267,31.32020416,2550.662279,2449.24553,2581.958178,2733.88903,2812.293066,2823.267138,2658.552537
8425,121.4361911,31.31968438,2469.721683,2462.909402,2463.602116,2765.783819,2896.162247,2859.319611,2652.91648
8426,121.4361926,31.31915841,1696.761666,1615.668638,1538.257112,1611.324792,1610.602465,1614.179394,1614.465678
8427,121.4362149,31.31863352,2416.48294,2343.746229,2408.508454,2689.420956,2127.346793,1887.081219,2312.097765
8428,121.4362928,31.31811544,1794.88755,1779.555423,1894.7663,1811.664633,2038.809319,1689.057932,1834.790193
8429,121.4362941,31.31758947,1904.026124,2097.865216,2272.178601,2013.59955,2025.556726,2203.656445,2086.14711
8430,121.4363014,31.3170636,1827.1704,2095.072002,1735.523096,1708.388121,1729.899259,1868.847877,1827.483459
8431,121.4363946,31.31654776,2199.722024,2220.044461,2137.118244,2112.457557,1735.508492,1825.381836,2038.372102
8432,121.4363973,31.31602184,2606.008782,2429.590784,2425.728043,2608.8829,2467.886806,2470.918848,2501.502694
8433,121.4363991,31.31549587,3231.213885,3375.31479,3263.630569,3245.745294,2085.769305,2043.178448,2874.142048
8461,121.4513478,31.3203024,2839.434367,3009.611724,2878.550956,2836.985064,2543.666034,2436.158014,2757.401027
8462,121.4513478,31.31977642,2709.922817,2646.131861,2705.163938,2585.44924,2549.957646,2874.108677,2678.455696
8463,121.4513478,31.31925045,2728.467244,2771.628727,2666.874238,2611.62129,2594.239787,2634.182436,2667.83562
8464,121.4513478,31.31872447,3378.682964,3376.630905,3482.349832,3252.406548,3372.897047,3333.930031,3366.149555
8465,121.4526262,31.31876119,2760.312322,2615.087652,2602.746182,2656.230765,2311.927318,1206.136868,2358.740184
8466,121.4521135,31.31864624,2359.274582,2292.480538,2341.697939,2290.556857,1546.329599,1136.698494,1994.506335
8467,121.4516006,31.31854615,3427.960122,3293.70395,3342.474549,3220.549121,2674.77983,2221.287249,3030.125803
8468,121.4531366,31.31835457,1822.837577,1640.389417,1498.792419,2055.778983,2464.302522,2503.657617,1997.626423
8469,121.4531352,31.3178286,1352.438942,1302.103332,1374.593304,1600.941317,2193.558365,2459.476835,1713.852016
8470,121.4531338,31.31730263,1225.856891,1243.379088,1217.385626,1497.705677,1183.918076,2068.526322,1406.128613
8471,121.4531038,31.31677818,1418.818684,1424.323171,1453.396866,1319.563954,1520.6497,1745.636978,1480.398226
8472,121.454879,31.32068986,1455.65168,1512.144932,1539.769083,1344.785712,1153.898058,1164.829375,1361.846473
8475,121.454924,31.31924667,1209.326159,1250.763254,1348.195689,1066.663728,1093.335811,763.6676044,1121.992041
8477,121.4539039,31.31899128,1046.904381,758.4284573,771.1878639,1071.397428,1290.717103,279.1509031,869.6310227
8478,121.4533873,31.3188994,3024.106306,2974.921109,2873.149945,3242.091846,2639.518283,1685.426218,2739.868951
8479,121.4554304,31.31991194,2580.916682,2428.860959,2528.299689,2662.334451,2552.670547,2415.808241,2528.148428
8480,121.4554297,31.32043791,2029.636801,2026.981339,2106.423917,2213.175527,1969.038219,1453.796333,1966.508689
8481,121.4554791,31.31886264,1421.632156,1514.804202,1362.032774,1385.211855,1304.233687,1580.024636,1427.989885
8482,121.4554775,31.31833672,1985.979095,1626.999403,1788.944882,2007.70445,2291.844233,2704.086035,2067.593017
8483,121.4559517,31.31945373,3630.920663,3630.881771,3462.353088,3738.289658,3744.398543,2862.621389,3511.577518
8484,121.4564602,31.31958682,3333.962556,3332.039485,3384.690335,3607.771053,3215.608899,2686.435253,3260.084597
8485,121.4569658,31.3197235,3217.80023,3161.742323,3216.467228,3213.069301,2445.545075,1421.715882,2779.390007
8486,121.4508674,31.32057726,1824.039889,1785.784572,1800.894344,1787.655626,1983.192385,1821.593663,1833.86008
8487,121.4503856,31.32037363,1401.673504,1591.676639,1568.392525,1596.410444,1517.921041,973.8489171,1441.653845
8488,121.4499104,31.32015096,401.7461079,428.4708614,386.4736921,645.2350827,823.4488953,1089.065656,629.0733825
8489,121.4494263,31.31995371,1267.181479,1601.696626,1396.919412,1209.215393,900.464386,1150.441828,1254.319854
8490,121.448954,31.31972347,2257.253922,2376.958195,2261.623253,1966.816726,1342.419977,1359.614382,1927.447742
8491,121.4484895,31.31951808,2398.818853,2386.451428,2450.391101,2170.333972,1658.941246,1499.869968,2094.134428
8492,121.4480887,31.31918491,869.4506022,1187.836685,922.5497899,828.4775229,1001.750917,1088.449427,983.085824
8493,121.4478558,31.31873684,1867.899689,1717.107723,1790.8498,2215.438374,2584.790589,2574.586982,2125.112193
8494,121.4478257,31.31821319,2712.426202,2596.338111,2597.935292,2756.463531,2936.051221,2473.133875,2678.724705
8495,121.4478652,31.31768972,3774.947066,3716.064556,3715.658446,3831.620368,3457.387964,2792.744689,3548.070515
8496,121.4553796,31.32138905,1576.540043,1560.879993,1504.489078,1618.528346,1647.093445,1682.21333,1598.290706
8497,121.4553944,31.3208635,1968.548221,2196.416022,2128.727395,2054.346518,2340.968152,1900.574748,2098.263509
8498,121.4548572,31.32186174,1276.276292,1958.709852,1832.010801,873.2863526,478.91023,478.91023,1149.68396
8499,121.4543313,31.32186225,2866.059007,3028.279547,2962.48857,2912.712973,2945.55708,2004.314191,2786.568561
8500,121.4538293,31.32171996,2251.900749,2396.378349,2313.01023,2221.125763,1315.748923,557.8788032,1842.673803
8501,121.4533254,31.32157519,1633.751227,1769.03418,1685.130533,1485.250138,1699.761309,1553.948789,1637.812696
8502,121.4528208,31.32144732,2543.593711,2727.220947,2596.587878,2322.025225,1779.368104,938.5342198,2151.221681
8503,121.452345,31.32122437,1659.275204,1671.555872,1759.480477,1678.259726,1313.957296,1166.18622,1541.452466
8504,121.4518623,31.32102001,1471.708085,1901.518933,1865.517741,1121.29927,990.0854022,935.1050566,1380.872415
8505,121.4513699,31.32084331,2766.882917,2997.070435,3071.26991,2851.773295,2555.812551,2590.079149,2805.481376
8506,121.4559013,31.32196344,2526.72838,2177.821701,2161.73841,2563.412669,1331.551284,650.7536501,1902.001016
8508,121.4569503,31.32201471,2717.112497,2481.670259,2542.687919,2640.771082,2643.200708,1191.236411,2369.446479
8509,121.4574762,31.32201797,2661.916596,2597.110693,2710.889624,3060.786338,2686.395368,979.0124441,2449.351844
8510,121.4600605,31.31985768,1810.115278,1616.101128,1629.910885,1963.107868,1940.83562,939.276952,1649.891288
8511,121.4599903,31.31933779,484.1246718,523.7265505,488.2180835,485.2250731,601.5019302,553.0553449,522.6419423
8512,121.4599198,31.31882004,1357.67423,1122.353485,1217.646986,1489.254073,972.4356926,602.5397636,1126.984038
8513,121.4598379,31.31830663,1065.349962,807.2383323,771.9654743,1135.221675,1650.403006,1297.046834,1121.204214
8514,121.4597692,31.31778841,1406.989981,1534.525785,1632.144211,1570.370242,1705.469007,1289.384415,1523.147273
8515,121.4596985,31.31727083,1837.859744,1669.021632,1825.572701,2023.435863,2459.99644,2111.007347,1987.815621
8516,121.4596091,31.31675768,1495.544421,1838.838905,1518.143275,1185.207809,799.7014484,660.8759527,1249.718635
8517,121.4595111,31.31624527,1150.355915,801.9785654,1132.359463,954.2633622,1111.655958,1247.862492,1066.412626
8518,121.4594086,31.31573732,318.5160578,251.6943827,251.0155781,166.2933162,92.91573512,396.8813728,246.2194071
8519,121.4582921,31.32000544,3438.407125,3378.923957,3434.415309,3335.492902,2966.434179,2915.837023,3244.918416
8520,121.4587939,31.32014909,3263.035917,3400.923855,3513.00718,3249.363022,2749.363459,2632.410599,3134.684005
8521,121.4593016,31.32027304,2854.766332,2848.390114,2771.423205,2244.923641,1466.56527,669.4308614,2142.583237
8522,121.4598112,31.32038339,3446.229017,3685.940896,3679.744592,3276.058224,2827.220188,2380.470766,3215.943947
8533,121.4555221,31.31814266,3067.217148,2844.380657,3001.423779,2926.405187,2781.406901,2148.991896,2794.970928
8534,121.4607945,31.32061412,3413.905054,3498.990381,3554.267745,3400.33373,2847.652582,2172.535555,3147.947508
8535,121.4613063,31.32073368,3349.182869,3345.694733,3570.008978,3189.65296,2738.371942,1596.461106,2964.895431
8536,121.4618198,31.32084514,3630.992304,3598.645326,3676.497857,3556.755331,2830.188958,2501.507935,3299.097952
8537,121.4623299,31.32097345,3534.068959,3952.884921,3952.419093,3599.740433,2880.71479,2240.099939,3359.988022
8538,121.4628453,31.32107569,3506.609138,3626.139852,3624.632358,3447.103398,2872.294207,1944.715467,3170.24907
8539,121.4633552,31.32120458,3119.33325,3011.287743,2958.986007,3443.886591,3560.945823,2920.813613,3169.208838
8540,121.4603663,31.32169184,1998.954538,2025.424513,1967.951418,2193.149508,2152.46729,2363.607602,2116.925812
8541,121.4602841,31.32117419,1791.353666,1671.084583,1635.468297,1771.066544,1462.406397,1575.222028,1651.100253
8542,121.4602375,31.32065794,3570.908696,3624.207815,3454.503505,3677.90354,3236.461338,3040.04155,3434.004407
8543,121.4583463,31.32211727,2632.585028,2632.532217,2737.068246,2741.671282,1834.597208,615.5133837,2198.994561
8544,121.4588723,31.32211921,1518.966745,1637.734221,1617.378028,2087.952425,1535.556517,605.2732059,1500.476857
8545,121.4593955,31.32216335,2715.88648,2247.277044,2456.707849,2684.335408,2365.047085,927.8478474,2232.850286
8546,121.4599214,31.32217043,3011.26504,2853.254658,2952.168695,3230.537907,3244.101638,1636.641752,2821.328282
8547,121.4604449,31.32220867,2780.850923,2584.24004,2611.243139,2711.919665,2841.736653,2697.488369,2704.579798
8551,121.4574276,31.32007535,2470.296336,2314.232589,2450.192142,2806.458403,3286.526142,3238.550867,2761.042747
8553,121.4638498,31.32021855,2383.231112,2585.772251,2589.034976,2023.740456,2453.730247,2300.660153,2389.361533
8554,121.4638489,31.31969258,2574.005722,2472.704462,2519.470139,2196.666042,2064.957023,2195.415146,2337.203089
9871,121.4282179,31.31344743,3715.291958,3662.298666,3714.124649,3487.4225,3882.720859,3730.202533,3698.676861
9872,121.428384,31.31294837,3699.877408,3639.325432,3862.740544,3586.374065,3648.934954,3610.797781,3674.675031
9873,121.4285501,31.31244932,3343.108617,3506.037532,3284.143935,3390.556422,3624.212827,3269.134244,3402.865596
9874,121.4287162,31.31195027,2357.744222,2477.734706,2402.867588,2654.01751,2633.462587,2527.239639,2508.844375
9875,121.4288951,31.3114557,3209.694895,3324.144624,3271.566472,3307.778023,3155.249655,3388.27813,3276.118633
9876,121.4290728,31.31096076,3520.116588,3295.191769,3514.958315,3736.94731,2965.887407,2762.603993,3299.284231
9877,121.4292428,31.3104633,3124.879227,3338.800431,3173.031093,3562.515204,3166.528735,3109.692167,3245.907809
9887,121.4403786,31.31490846,841.6606005,1019.777908,1045.463693,644.3426235,664.4484458,737.8869056,825.5966961
9888,121.440384,31.31438267,1785.606142,2105.931183,1740.573798,1507.703479,1143.360593,1334.454708,1602.938317
9889,121.4404722,31.31386522,1876.705499,1777.098077,1801.947864,2020.466544,2098.157401,1769.386192,1890.626929
9890,121.4404787,31.3133395,746.7972924,779.2803252,845.8366134,843.8403636,851.6483365,1302.044979,894.9079851
9891,121.4404812,31.31281353,1317.104611,1406.982382,1396.634923,1067.000705,864.5319636,1219.439489,1211.949012
9892,121.4408645,31.31606185,2237.580328,2530.920425,2653.648545,2699.115718,1586.04805,777.7202727,2080.83889
9893,121.4413748,31.31618437,3116.073101,2863.313406,3051.433247,2697.859865,2420.445554,1671.043936,2636.694851
9894,121.441883,31.31631848,3216.701224,3215.067972,3259.134968,3132.61841,2386.362683,2420.458676,2938.390655
9895,121.4369323,31.31517353,2391.139875,2707.062271,2625.550095,2470.399525,1667.36121,883.5942973,2124.184546
9896,121.437443,31.31529794,2832.594393,2769.710966,2937.462018,2813.404816,2367.462802,1541.49212,2543.687852
9898,121.4384614,31.31554505,2428.399912,2730.685339,2604.748941,2381.257674,1846.426648,1123.27751,2185.799337
9899,121.4389649,31.31567053,2791.998179,2907.072165,2765.387173,2711.665022,1659.833607,1209.585141,2340.923548
9900,121.4394709,31.31578881,2788.609412,3012.157977,2985.81231,2628.107193,1685.219741,946.0281693,2340.989134
9901,121.4399828,31.31589283,3518.323573,3347.323699,3515.186217,3422.854143,2751.215798,2075.814282,3105.119619
9902,121.4364966,31.31457247,2569.142757,2549.938676,2287.990948,2391.104957,2061.16736,1865.999861,2287.557426
9903,121.4365031,31.31404654,1517.742779,1497.016032,1440.945779,1627.311466,1929.611225,2168.695024,1696.887051
9904,121.436575,31.31352661,2129.153532,2339.663191,2162.445001,1721.972004,2281.513333,2341.089835,2162.639483
9905,121.4366009,31.3130022,2510.490315,2215.889301,2409.660196,2338.687176,1846.828081,2144.853849,2244.401486
9906,121.4366172,31.31247671,3125.830803,3027.081791,3188.500684,3446.57642,3642.017348,3496.11276,3321.019968
9908,121.4439625,31.31369324,896.6798931,714.4445757,775.4001746,1005.601348,1345.897285,1703.527165,1073.59174
9909,121.444236,31.31428784,1048.39673,878.1528913,798.6543571,1116.601732,856.5534942,869.0592482,927.9030755
9910,121.4442223,31.31376763,550.152571,570.1927891,606.7634778,713.1676557,1073.429361,1424.006225,822.9520131
9913,121.4441061,31.31645505,1113.777411,1062.645385,1066.614165,947.1275838,1125.358747,797.7218535,1018.874191
9914,121.4441055,31.31592912,669.416897,640.9332931,607.4748886,710.7118916,899.6336841,1006.333962,755.7507694
9915,121.4441033,31.31540315,1903.011257,1744.908879,1823.886978,2095.165431,2293.798646,1947.695192,1968.07773
9916,121.4438361,31.31749239,1567.683936,1612.394085,1736.103292,1431.390279,932.4516207,752.7402423,1338.793909
9917,121.4437802,31.31745118,1567.684505,1612.394835,1736.103976,1431.390654,932.4516939,752.7401978,1338.79431
