name,lon,lat,5_PD_PF,6_PD_PF,7_PD_PF,8_PD_PF,9_PD_PF,10_PD_PF,average_PD
53377,121.3811024,31.19293277,1490.853736,1461.961417,1426.873437,1211.655236,550.1130477,342.3689248,1080.637633
53379,121.3821401,31.19301905,2496.060693,2331.074175,2427.586848,2708.081127,2364.648263,2361.376151,2448.137876
53385,121.3814386,31.19154243,1255.824746,1372.261756,1306.02827,1267.455188,1185.186939,1269.604687,1276.060264
53386,121.3811702,31.19199374,1341.315547,1228.148595,1406.322664,1453.985793,1447.691518,1347.278414,1370.790422
53387,121.380877,31.19242982,1685.382589,1548.862993,1764.512363,1827.465172,1792.593246,1331.555122,1658.395247
53388,121.3820357,31.19068242,1342.756786,1448.644004,1340.238161,1242.660532,1375.799588,1665.417845,1402.586153
53389,121.3823727,31.19027875,1894.471009,2055.844825,2014.944047,1660.350537,2101.614282,2226.571152,1992.299309
53390,121.3826988,31.18986609,1630.145744,1599.655666,1661.46203,1708.136088,1907.325129,2040.822687,1757.924558
53391,121.3830134,31.18944581,1989.819275,1940.415905,1929.326352,1989.584543,2611.316408,2489.659438,2158.353654
53392,121.3833661,31.18905644,2054.943288,1871.855596,1909.086296,2133.246319,2602.392056,2979.489247,2258.502134
53396,121.383616,31.19191806,1916.47857,1875.2379,1851.442983,1750.006867,1100.945988,811.5822897,1550.9491
53397,121.3840873,31.19215045,3395.850834,3385.860553,3336.59133,3493.232464,3612.272816,3671.493691,3482.550281
53399,121.3846782,31.19330145,2142.09847,1977.315199,2179.732828,2460.092149,3150.833135,3108.29992,2503.06195
53400,121.3812013,31.19093302,1794.339941,2060.517715,1769.970492,1322.070596,1576.84419,1469.71324,1665.576029
53401,121.3807325,31.19070519,1182.224093,1508.28038,1262.362289,1230.760308,1432.796107,1850.68323,1411.184401
53402,121.380263,31.19047712,1634.0991,1786.873661,1715.461118,1497.792497,1745.13363,2094.203709,1745.593953
53403,121.3797876,31.19025977,743.2700084,1412.505994,1006.969162,645.2172369,833.8581621,1152.304892,965.6875757
53404,121.3793192,31.19002163,729.9985224,1071.971345,1062.896226,360.7268952,335.4074482,631.2728485,698.7122142
53405,121.3788425,31.18980599,1180.508433,1046.478864,1186.088128,1315.509071,1364.047222,1697.717192,1298.391485
53406,121.3783629,31.18959471,2843.376,2841.172596,2850.036027,2584.846823,2297.037673,2078.452171,2582.486882
53407,121.377876,31.18940212,1352.335141,1447.276923,1351.106508,1509.309909,1135.117851,882.7829894,1279.654887
53408,121.377405,31.18916918,1974.607565,2430.642157,2100.527989,1495.486109,1765.404033,1727.132291,1915.633358
53409,121.3769215,31.18897296,2060.426706,2153.730234,2104.566627,1846.425051,1659.715468,1425.989509,1875.142266
53410,121.3764569,31.1887605,718.6902541,692.7908286,809.4123415,520.0512225,734.2843434,962.8613629,739.6817255
53411,121.3760218,31.18847593,975.6782982,718.5478856,810.539018,1124.111535,1659.373942,1390.631547,1113.147038
53412,121.3755501,31.18824373,2037.377899,1886.047142,1958.789361,1787.33069,1835.627715,1039.772305,1757.490852
53415,121.3897748,31.1934652,3162.511357,3055.096493,3049.977204,3486.036245,3942.785662,3725.884893,3403.715309
53416,121.3887299,31.19347371,3460.509667,3457.592761,3454.982939,3454.301584,3798.398704,3692.519636,3553.050882
53417,121.3882142,31.19355999,3492.236144,3377.716913,3264.308425,3656.81492,3314.936262,2231.524817,3222.922914
53418,121.3876884,31.19356004,3387.736606,3609.839332,3494.772445,3661.401754,3796.831309,2647.925525,3433.084495
53419,121.3871693,31.19348423,2943.931893,3145.811828,3112.000904,3049.80751,2785.74935,2430.105136,2911.234437
53424,121.3880252,31.19113137,1849.375643,1884.788995,1829.36499,1828.129857,1854.845293,2039.886278,1881.065176
53425,121.3884134,31.19093907,1580.4555,1495.349503,1503.020578,1624.281439,1412.994226,1747.187111,1560.54806
53426,121.3888889,31.19116182,1161.578702,1044.982048,1091.193884,1266.216264,1540.253947,1698.823287,1300.508022
53427,121.3893884,31.19131008,740.1793664,591.3389197,644.7668692,858.8768113,1186.518389,1766.096604,964.6294932
53428,121.3897698,31.1915733,406.2264254,541.7977659,469.9592723,327.6842335,163.4901274,81.41841136,331.762706
53443,121.3847982,31.19248143,3650.880428,3706.425796,3762.705375,3704.11933,3503.410151,3548.366562,3645.984607
53444,121.3849686,31.19309286,3329.826072,3444.645813,3381.996246,3323.253467,3391.997485,3436.019317,3384.623067
53445,121.3872455,31.19194627,2268.761004,2227.425871,2241.356241,2138.787065,2328.767044,2316.438529,2253.589292
53451,121.3863497,31.19313658,2481.937656,2430.887488,2424.580967,2488.567358,2553.815786,2749.76731,2521.592761
53470,121.3905646,31.19345629,3120.154455,3106.607073,3018.252025,2841.169263,2762.757503,1773.758911,2770.449872
53473,121.3909329,31.19134428,603.5285444,1067.475698,916.8391119,334.1047917,302.0785363,93.97690083,553.0005972
53474,121.3904274,31.19120618,351.9565654,826.0377817,367.7482337,119.5538679,231.3743374,47.97039107,324.1068629
53475,121.3899403,31.19101357,215.1587701,567.8279306,353.2130525,226.5893946,71.05208348,87.3236767,253.5274847
53476,121.3894455,31.19084919,657.3649868,818.0894837,853.8911025,554.1511948,358.97456,1036.458623,713.1549917
53477,121.3889697,31.19062662,1775.338959,1778.842041,1722.37878,1964.384216,1995.468576,1676.046453,1818.743171
53478,121.388481,31.19044847,1356.016991,1474.474391,1484.510772,1242.017248,1371.134081,1128.620042,1342.795588
53479,121.3880025,31.19023398,2058.004737,1934.083587,2002.569754,2071.34521,1907.747653,1114.354095,1848.017506
53480,121.3915953,31.19202823,743.3110476,975.5033443,695.8589079,727.0672352,847.4837006,368.3110653,726.2558835
53481,121.3911355,31.19179193,1766.153359,1687.082991,1730.272821,1694.328234,1999.564106,1880.164725,1792.927706
53482,121.3906197,31.1917253,686.6563144,577.8356447,617.8839563,785.9769957,772.9228696,849.0079128,715.0472822
53483,121.3901043,31.19165098,292.6549918,128.0642046,222.6517713,493.3971861,192.7175485,9.624291912,223.1849991
53486,121.3916632,31.1910424,2163.275443,1971.969586,2106.698735,2113.511925,2454.364891,2256.389352,2177.701655
53487,121.3918771,31.19056222,2316.691979,2103.594406,2189.035741,2320.291191,2202.129487,2093.495924,2204.206455
53488,121.3920677,31.19007223,1711.888134,1436.777936,1443.758657,2167.08859,2501.211292,2825.789424,2014.419006
53501,121.3921776,31.19222089,3178.046597,3064.85832,3007.776214,3119.731498,2838.110741,2380.106306,2931.438279
53502,121.3925557,31.19275485,2005.90823,2113.001522,2123.261728,2119.856349,2311.891965,2368.28717,2173.701161
53503,121.3924531,31.19327012,2049.686728,1930.582359,1998.069553,2080.966632,2477.798673,2031.143014,2094.707827
53504,121.3922542,31.19179234,2177.822525,2036.22805,2071.090282,2119.526414,2662.041178,2966.370641,2338.846515
53505,121.3917577,31.19163185,743.3053617,975.4987142,695.8534065,727.0615112,847.4792581,368.3103466,726.2514331
53506,121.3929071,31.19145092,3127.590914,3187.618384,3173.208779,3446.726542,3524.718994,3207.863702,3277.954552
53517,121.3994078,31.19293445,828.403275,751.9107353,751.415066,1035.616471,1521.271605,1876.453498,1127.511775
53518,121.3994078,31.19240847,1829.469827,1682.995933,1726.710135,1990.525127,2153.644648,1819.943053,1867.214787
53519,121.3994078,31.1918825,2509.814821,2451.92939,2701.546422,2360.512305,2297.198835,2075.316314,2399.386348
53520,121.3993915,31.19135762,1615.411867,1748.093005,1677.987718,1493.973881,1673.110369,1794.907261,1667.24735
53521,121.3992984,31.19084586,2656.508387,2499.820541,2493.930672,3017.470877,3417.474681,3507.672644,2932.1463
53530,121.3953341,31.1930989,2868.850555,2731.774716,2717.476677,3115.428056,3430.146859,3363.77354,3037.908401
53531,121.3956308,31.19266527,3440.525117,3439.80245,3493.643347,3380.707441,3526.976792,2801.10522,3347.126728
53532,121.3959331,31.19223557,2916.543522,2870.881601,3016.363825,2960.972889,3352.215635,3309.477672,3071.075857
53533,121.3962296,31.19180196,2883.946994,3147.375523,3306.802307,2757.548124,2908.463895,2756.837538,2960.162397
53534,121.396534,31.19137379,3124.256209,3004.809636,3001.361623,3272.774884,3018.824073,3083.273504,3084.216655
53535,121.396819,31.19093229,3428.518193,3205.295385,3202.99802,3476.478751,3934.208905,2884.517716,3355.336162
53563,121.4044053,31.1927052,640.5772707,678.1561524,697.9134234,659.9337171,670.8306612,870.6226442,703.0056449
53564,121.4043604,31.19218171,1000.005607,891.300662,981.4516336,997.1728545,1185.308392,1026.584088,1013.637206
53565,121.4043589,31.19165574,620.4775607,572.4177507,574.7219172,752.2652792,803.6238381,980.2013876,717.2846223
53566,121.4043574,31.19112977,1161.118347,1168.595653,1013.62013,1033.924276,987.3832773,802.392721,1027.839067
53567,121.4043513,31.19060386,3615.031801,3389.557863,3387.550982,3720.947576,3845.333588,3091.079546,3508.250226
53582,121.4080311,31.19250305,2110.36395,2403.026931,2292.595578,2072.756801,2617.866259,2604.634235,2350.207292
55167,121.3535971,31.18711971,1685.930083,1550.705364,1787.863532,1728.575675,1804.691533,1896.022359,1742.298091
55175,121.3565904,31.1860264,1086.914044,1312.456735,1273.779469,1304.308823,1552.820359,2526.184727,1509.410693
55176,121.357763,31.18660569,1060.261522,1060.673041,1057.383724,723.0279194,92.46669195,269.722111,710.5891682
55179,121.35494,31.18554462,674.857857,846.9613696,979.1230034,901.5772001,988.6478151,603.310887,832.413022
55191,121.3537216,31.18630328,1291.289223,1121.196198,1255.39608,1417.387504,1513.032252,1438.361133,1339.443732
55203,121.362829,31.18694667,2766.271732,2540.183064,2651.790725,3140.693418,3156.450809,1899.011935,2692.400281
55204,121.3633408,31.18703275,2684.643391,2475.773417,2675.462309,3043.738531,3222.302942,2039.448223,2690.228136
55205,121.3638481,31.18714886,2883.843258,2578.473646,2675.256387,3079.44887,3386.923235,2155.384582,2793.221663
55206,121.3643561,31.18727057,3571.944147,3627.040204,3511.889621,3678.91004,3741.161301,3320.49712,3575.240406
55207,121.3617899,31.1868132,2711.71523,2652.240981,2707.647121,2808.760899,3032.161071,1978.530349,2648.509275
55208,121.3612781,31.18669409,2646.732033,2476.636647,2636.212448,2972.33013,2993.441808,2088.20932,2635.593731
55209,121.3607673,31.18656997,2107.868094,1971.915213,2071.00903,2325.177218,2096.928185,1452.679689,2004.262905
55210,121.3602567,31.1864451,756.1764744,860.4720804,820.4097894,675.8662609,887.0213594,1101.9515,850.3162441
55211,121.3597491,31.18630921,2444.585731,2009.690429,2339.975324,2862.395071,2882.821836,2837.578824,2562.841202
55212,121.3592994,31.18604543,2079.495081,2018.626345,2060.913396,2397.437755,2595.475464,2450.248119,2267.032693
55213,121.359167,31.18555953,1946.408614,1883.018149,1837.406577,1993.582866,1887.241567,2179.63289,1954.548444
55214,121.3593281,31.18505883,2266.980723,1987.524977,2145.465675,2038.340138,2261.985856,1856.471196,2092.794761
55215,121.3594657,31.18455167,1314.346995,1266.380809,1357.377375,1306.619919,1536.260738,1335.960566,1352.8244
55216,121.3596142,31.18404794,1343.690997,1418.470492,1399.374888,1420.141542,1455.117066,1736.126524,1462.153585
55217,121.3597535,31.18354124,2436.412499,2423.440202,2370.753099,2292.424593,2118.589951,2207.903752,2308.254016
55218,121.35989,31.18303504,2211.118447,2344.830365,2245.862869,2293.629387,2465.716402,2432.662898,2332.303395
55219,121.3600234,31.18252993,1977.295541,1773.078032,1851.05883,2292.761535,2439.262405,2833.647814,2194.517359
55220,121.3623241,31.18633325,533.4733259,586.7571434,636.6585739,645.6130776,841.1133099,962.8640779,701.0799181
55221,121.3624626,31.18582755,2237.789324,2814.682672,2495.673438,2095.151764,1796.577407,1507.865255,2157.956643
55222,121.3626874,31.18535359,2131.198072,1792.68059,1902.776461,2063.387984,1877.029239,1698.530991,1910.93389
55223,121.3628855,31.18486745,1754.183745,1329.3711,1593.394086,1513.545223,1069.17495,1670.50313,1488.362039
55224,121.363081,31.18437944,2377.670647,2482.759081,2337.147702,2146.531735,1924.272306,1602.736138,2145.186268
55225,121.3632656,31.18388719,2135.9309,2177.851717,2184.146659,2163.733696,2370.542754,2113.112216,2190.886324
55226,121.36347,31.18340284,3323.271459,3100.913057,3208.618259,3320.268294,3391.451194,2508.173288,3142.115925
55237,121.3645815,31.18660364,1811.764145,2164.634134,1786.03252,1923.545395,1482.53045,1463.562852,1772.011583
55238,121.3644705,31.18711713,2759.943808,2370.650919,2459.805499,3080.336737,3356.802321,2588.196215,2769.28925
55239,121.365248,31.18618474,1662.9054,1610.227396,1560.915719,1919.551375,2133.562577,2258.416852,1857.596553
55245,121.3647753,31.18557569,1010.448479,921.9321428,1137.184669,1041.82083,1281.022369,1573.831737,1161.040038
55246,121.364864,31.18505829,1533.561861,1696.350762,1651.38644,1430.109194,1496.697677,1713.944978,1587.008485
55247,121.3649569,31.18454135,1326.139756,1460.53688,1235.921425,1326.056283,1858.925788,2032.661261,1540.040232
55248,121.3650532,31.18402585,2908.063377,2627.21687,2698.997163,3244.252801,3048.86415,2724.910955,2875.384219
55249,121.3651187,31.18350436,3438.207308,3528.893674,3479.634045,3124.541998,2556.089963,2195.983962,3053.891825
55252,121.3686262,31.18927001,2256.509636,2228.699227,2445.669603,2245.228094,1979.834197,1832.712243,2164.7755
55264,121.3693108,31.18914892,1704.408515,1561.537022,1710.905937,1971.666026,2203.334046,1221.053933,1728.81758
55265,121.3698134,31.18928816,971.7095815,1008.790829,1070.418096,1514.231446,925.3454282,810.6520169,1050.191233
55266,121.3703101,31.18944616,524.2092887,396.6745976,575.5297444,401.6660267,668.985914,1819.044383,731.0183257
55267,121.3708121,31.18959813,1607.009569,1363.344608,1428.438327,1513.436581,1653.932299,2697.879494,1710.67348
55274,121.3640955,31.18804497,1053.810051,1118.179074,1067.638599,1189.361789,1162.960741,1313.508468,1150.909787
55275,121.3642971,31.18755969,1892.142672,1624.609223,1719.465382,1593.912723,1740.090148,2311.808499,1813.671441
55276,121.3690096,31.18822422,365.0971628,162.5563518,170.1019301,10.36866377,10.36866377,10.36866377,121.476906
55277,121.3690487,31.18770111,159.650782,270.4295124,313.8694935,373.2553843,549.0263203,508.2954199,362.4211521
55278,121.3690016,31.18717817,2029.159202,2047.026408,1996.092089,1460.293747,1198.136766,1130.029249,1643.456243
55279,121.3688574,31.18667406,3988.85471,4095.65367,4095.579703,3876.439716,4040.526846,3715.597179,3968.775304
