name,lon,lat,5_PD_PF,6_PD_PF,7_PD_PF,8_PD_PF,9_PD_PF,10_PD_PF,average_PD
14065,121.3895421,31.29634116,3565.045259,3454.232282,3561.826354,3728.401231,3960.914873,3103.064237,3562.247373
15414,121.3808874,31.29309488,3986.774039,3930.004258,3872.272108,3871.336544,4101.290952,3993.487599,3959.19425
15415,121.3803942,31.29293688,4051.914059,3882.057091,3880.214707,4050.096747,4335.500102,4003.182501,4033.827535
15416,121.3798683,31.29293542,4015.311766,3957.462765,4127.288305,4127.766103,4073.845648,3914.408942,4036.013922
15417,121.3793423,31.29293584,4136.369828,4023.183224,4021.937702,4077.372087,4138.428356,3445.602941,3973.815689
15418,121.3788163,31.29293627,3924.934247,3923.806514,3865.65685,3979.038877,4039.445274,3663.646135,3899.421316
15419,121.3782904,31.2929367,3818.520591,3986.876241,3929.190542,3928.509187,4046.702898,3721.098784,3905.149707
15420,121.3777644,31.29293713,3818.242581,3654.006915,3705.792251,3643.507564,3985.561672,3554.960397,3727.011897
15422,121.3814483,31.29267427,3588.189359,3414.997698,3526.537567,3586.448135,3332.242766,3815.747202,3544.027121
15423,121.3814487,31.29214829,2597.167241,2451.44693,2569.404494,2462.008291,2511.976572,2469.561524,2510.260842
15424,121.381443,31.29162255,1735.342992,1698.053484,1700.926388,1773.170839,1990.480382,2020.990612,1819.827449
15425,121.3813443,31.29111126,3816.483227,3700.538947,3758.430996,3920.677863,3812.842477,3766.528814,3795.917054
15426,121.3813445,31.29058528,2540.155164,2670.884299,2757.571573,2399.777329,2349.641428,2014.399795,2455.404931
15427,121.3813449,31.29005931,2271.770965,2020.438658,2085.07566,2416.863559,2429.736769,2737.350976,2326.872764
15428,121.3813453,31.28953333,2245.321372,2306.953231,2278.129316,2521.133942,2605.302865,2831.51717,2464.726316
15430,121.3820762,31.29324297,3471.527242,3416.737193,3414.867505,3582.77933,3811.539914,2505.767048,3367.203039
15431,121.3825993,31.29320252,3352.816339,3566.381843,3565.545817,3462.588018,3340.336626,2765.425791,3342.182406
15432,121.383125,31.29318976,3155.388179,3116.438866,3109.79708,3365.049537,3326.97283,2821.249914,3149.149401
15433,121.3836484,31.29314892,3389.73182,3378.557701,3603.036065,3440.883559,3226.000333,2706.219817,3290.738216
15434,121.3841675,31.29308649,3076.908291,3087.810247,3086.197697,3134.814818,3146.586607,2200.231138,2955.4248
15435,121.3846877,31.29303783,3141.899884,3029.910831,3085.114457,3647.075121,2817.10487,2068.034173,2964.856556
15436,121.3852111,31.29299624,3451.941846,3114.359027,3280.25496,3561.665777,3295.094696,2852.115031,3259.238556
15437,121.3857357,31.29296507,3676.456671,3507.316525,3672.570677,3842.092142,3795.191234,3328.91647,3637.09062
15438,121.3815506,31.29376972,2915.083329,3249.738521,3085.629853,2872.339038,3092.408079,2469.086663,2947.380914
15439,121.381551,31.29429569,2519.899988,2566.949496,2521.949274,2074.888902,2051.241019,2106.098205,2306.837814
15440,121.381579,31.29481984,2340.243967,2374.893147,2431.94406,2081.636001,1933.793457,2124.645049,2214.525947
15441,121.3815983,31.2953445,2178.979974,1857.982905,1843.074321,2308.412757,1805.321307,1931.707184,1987.579741
15442,121.3815933,31.29587043,2196.772799,2260.741735,2200.549402,2267.545334,2090.777981,2246.104777,2210.415338
15443,121.3819708,31.29610815,2856.036227,2481.914823,2578.839368,3294.692319,3608.109621,1866.121997,2780.952393
15444,121.3824967,31.29610081,2788.887433,2787.115083,2840.347645,3173.119133,3571.619195,1530.417016,2781.917584
15445,121.3830227,31.29610094,3080.714381,2858.455347,3076.725275,3297.713012,3590.62189,1716.586312,2936.802703
15446,121.3835487,31.29610108,3129.096163,2960.007454,2959.210457,3399.689951,3536.678097,1493.376682,2913.009801
15447,121.3840747,31.29610121,3251.974902,3252.547366,3084.824438,3413.500418,3569.388761,1996.250495,3094.74773
15448,121.3845994,31.29607962,3253.439555,3477.303714,3419.710111,3446.886268,2128.9185,1738.537964,2910.799352
15449,121.3851235,31.29605043,3392.36394,3391.989847,3447.686893,3328.971869,3453.526855,2037.189901,3175.288217
15450,121.3856495,31.29605041,3444.654364,3276.919076,3442.554086,3457.702919,3245.387682,2343.30091,3201.753173
15451,121.3859986,31.29657574,3103.402038,2979.017366,2990.329578,2943.847614,2887.21922,3118.126422,3003.65704
15454,121.3864987,31.29605274,3280.903074,3221.934318,3218.890812,3509.282915,3329.289181,3401.214919,3326.919203
15455,121.3870221,31.29609844,3689.490327,3466.579048,3576.216246,3856.136376,3368.226857,3112.219411,3511.478044
15456,121.38754,31.29618043,3735.52215,3454.762271,3507.940918,3789.844928,3529.30027,2786.719881,3467.348403
15457,121.3880444,31.29630404,3704.061531,3819.208737,3645.39243,3701.101144,3545.39704,2928.188201,3557.224847
15458,121.3885704,31.2963052,3568.569308,3567.249713,3679.473888,3734.293324,3632.733158,3330.561694,3585.480181
15459,121.3890962,31.29631214,3687.452909,3799.907519,3571.378986,3795.450772,4027.76101,3434.600948,3719.425357
15460,121.3859886,31.29552475,2129.781515,2133.598896,2265.781445,2218.788433,1828.680392,1627.533121,2034.0273
15461,121.3859877,31.29499878,2072.038105,2079.199814,2124.812121,2125.226693,1989.170842,1787.165676,2029.602208
15462,121.3859276,31.29447864,2999.837204,2684.326032,2851.599054,3104.898182,2724.879425,2227.246892,2765.464465
15463,121.3858856,31.29395591,3101.216757,3157.681729,3097.91479,2903.002241,2598.39463,2502.745939,2893.492681
15464,121.3858838,31.29342993,2845.754848,2801.181613,2787.885212,2835.525267,2808.702769,2845.170411,2820.703353
16842,121.3570466,31.28805399,4197.705912,4368.142967,4310.901144,4139.393214,3918.933111,4035.821385,4161.816289
16843,121.3570472,31.28835396,4264.155243,4149.968199,4149.18313,4320.500121,4265.339067,4156.966471,4217.685372
16844,121.3578209,31.28779983,4106.385614,4219.590879,4219.319126,3989.809086,3771.272633,3682.7453,3998.187106
16845,121.3583185,31.28763005,3776.609268,3946.173568,3888.748241,3660.664633,3299.156989,3155.350638,3621.117223
16846,121.358809,31.28744094,3946.004897,3746.839976,3971.132346,3766.294104,3402.891952,3151.293114,3664.076065
16847,121.359308,31.28727463,3490.881549,3711.638919,3712.776488,3765.754008,3549.248483,3725.286151,3659.264266
16848,121.3598076,31.28711051,3786.44537,3954.762892,3896.326179,3895.620144,3737.164413,3641.515807,3818.639134
16849,121.3603179,31.28698343,4118.040973,4117.428055,4002.825838,4172.782179,3896.955725,3686.612627,3999.107566
16850,121.355723,31.28853834,4008.979896,4063.549479,4006.575199,4004.855119,4121.851975,4180.218922,4064.338432
16851,121.3562142,31.28835025,4256.032207,4312.691873,4369.734044,4254.947225,4144.981564,3821.6462,4193.338852
16859,121.3603559,31.29034082,3637.953562,3636.930413,3467.544698,3443.207339,2661.659129,2318.567665,3194.310467
16870,121.3621308,31.28953523,2362.535808,2634.843343,2446.613473,2168.471607,2370.897428,3007.867644,2498.538217
16871,121.3619645,31.28903622,4099.383041,4207.772554,4207.164267,3981.86331,3985.840867,4047.390474,4088.235752
16872,121.3617983,31.28853721,3679.912331,3630.135975,3677.167748,3729.701468,4119.318123,3751.464319,3764.616661
16873,121.3616999,31.28802363,2511.151459,2665.2964,2687.508737,2611.592636,2632.130518,2818.501999,2654.363625
16874,121.3616551,31.28750022,1752.666926,1746.846388,1879.298578,1793.065112,1939.965408,1698.168048,1801.66841
16875,121.3616295,31.28697527,3650.160218,3692.392138,3697.210414,3801.771626,3863.145006,3923.862623,3771.423671
16897,121.3626092,31.29075857,3305.288234,3250.123427,3190.040074,3306.674794,2944.331522,2976.406578,3162.144105
16898,121.3624354,31.29026341,1995.025477,1965.032945,2028.05437,1944.894003,1730.927878,1288.047363,1825.330339
16899,121.3631041,31.29076725,3141.415142,3331.944053,3279.261644,3229.190113,3060.684044,2878.493858,3153.498142
16902,121.3633642,31.29110452,4041.200341,3926.625765,3982.458424,3982.156912,4211.902188,3616.863054,3960.201114
16904,121.3634239,31.29150779,4041.200806,3926.626242,3982.458907,3982.157669,4211.902363,3616.864838,3960.201804
16919,121.3688579,31.29089688,2286.277708,1945.93401,2014.328557,2149.644146,3242.007792,3588.911629,2537.85064
16923,121.3675723,31.29130528,3958.70033,3957.850993,4070.3224,4069.302056,4242.775412,4189.10527,4081.342743
16927,121.3701826,31.29114385,3158.674322,3018.0601,3059.120407,3039.312322,3890.56528,4111.609909,3379.557057
16930,121.3657853,31.29140564,3672.353513,3446.151795,3502.726799,3723.481733,3785.926298,3797.22014,3654.64338
16931,121.3658986,31.29102752,3701.524904,3587.145623,3755.779911,3981.490505,3929.40504,3770.665634,3787.668603
16932,121.3668262,31.29130315,3778.910825,3608.916473,3719.811103,4003.68824,4007.009481,3845.951389,3827.381252
16933,121.3738965,31.28883439,3722.131439,3721.107648,3777.148584,3781.783254,3073.062368,2712.724561,3464.659642
16936,121.3712131,31.28972145,3698.417702,3755.768445,3751.296765,3919.609847,4263.772533,4209.233297,3933.016431
16937,121.371739,31.28972651,3850.181184,3624.100405,3734.70429,4074.624138,4133.757553,4247.42855,3944.132686
16941,121.3737494,31.28973491,4077.502322,4132.534779,4131.558774,4130.168379,4134.136449,4081.762622,4114.610554
16942,121.3701415,31.2906675,3331.600542,3017.955858,3012.127942,3489.553308,4058.905644,4117.341177,3504.580745
16943,121.370953,31.29104913,3599.586215,3430.539727,3483.614982,3706.732471,3938.950062,3997.686309,3692.851628
16944,121.371479,31.29104781,3884.026156,3939.227412,3995.390115,4108.514677,4168.177682,4171.042719,4044.39646
16945,121.3720022,31.29100177,4005.454013,4059.225791,4001.80657,3888.582168,4118.186479,4120.937855,4032.365479
16946,121.3725264,31.29096904,3956.036881,3841.818065,4010.613559,4180.483457,4183.782495,4241.703193,4069.072942
16947,121.3730497,31.2909219,3868.725517,3701.015939,3756.238425,3976.447442,4148.258435,4206.138219,3942.803996
16948,121.3735743,31.29089923,3929.668774,3700.66169,3981.951583,3814.647705,4098.442723,4157.291347,3947.110637
16949,121.3741002,31.29089708,3758.25825,3477.597687,3594.904069,3753.770317,3763.05169,3877.649058,3704.205178
16950,121.3749331,31.2890606,252.5081728,85.18348466,142.1073677,144.8804117,30.61598439,572.0354793,204.5551501
16963,121.3749674,31.28865217,3889.423057,3662.834725,3830.128879,3794.469602,3729.534659,3957.152229,3810.590525
16964,121.3748131,31.2877184,3863.73985,4026.534514,4028.177058,3811.257177,3921.159187,3925.01593,3929.313953
