name,lon,lat,5_PD_PF,6_PD_PF,7_PD_PF,8_PD_PF,9_PD_PF,10_PD_PF,average_PD
3053,121.5003595,31.3460232,3115.843484,3127.636626,3462.531673,3319.734272,2855.383263,2181.011424,3010.356791
3054,121.5008281,31.34579202,2765.455952,2790.972278,2674.96257,2624.949088,2125.465915,1943.685757,2487.581927
3055,121.501299,31.34556523,1937.271207,2128.082454,2206.085292,2065.42674,2274.943203,2328.740689,2156.758264
3056,121.5017617,31.34532269,2140.380207,2336.003713,2213.840027,2134.001804,2524.435599,3221.165496,2428.304474
3057,121.5022262,31.34507954,3249.159422,3631.888801,3289.095774,3373.30493,3710.033228,3715.02956,3494.751953
3080,121.5026049,31.34546763,3789.085669,3893.573295,3890.913858,3620.535836,3369.65037,3314.639998,3646.399838
3081,121.5029163,31.34589145,3002.131023,2823.948842,3133.878377,3131.683633,3420.593988,2620.231496,3022.077893
3082,121.5032199,31.34632094,2581.794561,2928.8669,2821.086888,2137.130735,2131.109976,2043.956053,2440.657519
3083,121.5035139,31.34675676,2968.50483,2792.513705,2842.348657,3045.520168,2965.46554,2804.536211,2903.148185
3084,121.5019622,31.34463493,3242.094432,3334.935604,3169.509287,3215.029153,3244.839673,3303.18888,3251.599505
3085,121.5016344,31.34422363,2296.410185,2419.625707,2431.232325,2365.935376,2529.092351,2259.668395,2383.660723
3086,121.5013066,31.34381232,2327.088371,2249.996703,2179.092931,2207.470967,2218.736446,2192.244267,2229.104947
3087,121.5009787,31.34340102,2400.729312,2278.608457,2433.298997,2709.027163,2116.456279,1965.598168,2317.286396
3088,121.5006509,31.34298971,2326.268007,2468.985643,2354.348719,2245.220501,1905.373792,1900.758408,2200.159178
3089,121.500323,31.34257841,2034.056049,1942.441583,1926.66902,1772.472,1973.687062,2255.027884,1984.058933
3090,121.4999937,31.34216835,2093.076467,2262.647175,2189.954125,2033.072867,1836.391231,1911.801896,2054.490627
3091,121.4996536,31.34176731,2062.669165,2253.047727,2109.343697,1957.533854,2027.444135,1911.655738,2053.615719
